,CTYNAME,pct_white,pct_black,pct_american_indian,pct_asian,pct_pacific_island
209,Autauga Alabama,0.7626232794573019,0.20113121766990638,0.004761137661314862,0.011741753029408079,0.0010381427983318118
437,Baldwin Alabama,0.874409812125393,0.0877688882517896,0.007803470797459168,0.010661458379995879,0.0006898590716467921
665,Barbour Alabama,0.49153366280482863,0.4822976585919144,0.006886494369278133,0.004699019687272138,0.0021064571011909583
893,Bibb Alabama,0.7676609806198089,0.21269089934803964,0.004599446280253639,0.0021434312762347056,0.0011610252746271322
1121,Blount Alabama,0.9582540725625152,0.016912807387680282,0.006398505862414831,0.0031992529312074155,0.0011586483588697126
1349,Bullock Alabama,0.26621126621126623,0.7026037026037026,0.008316008316008316,0.002079002079002079,0.007623007623007623
1577,Butler Alabama,0.5207219251336899,0.44976347182229537,0.003959276018099547,0.014345948169477582,0.00041135335252982314
1805,Calhoun Alabama,0.7510408872848906,0.21313322477003652,0.005325469829672989,0.009013687777826681,0.001117908542757801
2033,Chambers Alabama,0.5704576893005353,0.4019065375593914,0.003277801166776929,0.011246767306188728,0.00045107355506104527
2261,Cherokee Alabama,0.9317834783936478,0.04096045197740113,0.006909451824706062,0.00393189799969461,0.00030539013589861045
2489,Chilton Alabama,0.8705546052039255,0.10344827586206896,0.005627082020347529,0.0048843071936616545,0.0017331412622670387
2717,Choctaw Alabama,0.571212963698467,0.41742791325760586,0.0020652950988958615,0.0019858606720152515,0.0
2945,Clarke Alabama,0.5299297265261197,0.4502159004318009,0.005630344594022521,0.004360342054017441,0.00021166709000084666
3173,Clay Alabama,0.8322629391764261,0.13781639591990932,0.0056667925953910086,0.002871174914998111,0.0
3401,Cleburne Alabama,0.9507712944332662,0.028437290409121393,0.005298457411133468,0.0022132796780684103,0.0007377598926894701
3629,Coffee Alabama,0.7578808604944404,0.1760727522830614,0.014023155401016393,0.016774292155439227,0.003935653968132666
3857,Colbert Alabama,0.8044749370938252,0.16218026465849641,0.006915153599681396,0.00677033362900744,0.0007240998533697796
4085,Conecuh Alabama,0.5175271401342504,0.4607607524654015,0.005552332808485954,0.0023203778901135326,0.00024861191679787854
4313,Coosa Alabama,0.6675419675513458,0.3089186907999625,0.006095845446872363,0.0016880802775954234,0.0016880802775954234
4541,Covington Alabama,0.8451240249399444,0.12518556506248482,0.0075575589084725635,0.00502037841777106,0.00010796512726389376
4769,Crenshaw Alabama,0.7216816729596283,0.2388178913738019,0.0066076096427534125,0.01103688643624746,0.00043566656985187334
4997,Cullman Alabama,0.9572629166268742,0.013800019100372457,0.006434437971540445,0.007246203800974119,0.000811765829433674
5225,Dale Alabama,0.7376759131212886,0.20975351826242578,0.008582119905637354,0.014500122020662165,0.0018099731554543236
5453,Dallas Alabama,0.2758092267985805,0.7070652758361115,0.0030648456823314336,0.004489730078503065,0.0004570383912248629
5681,DeKalb Alabama,0.9271461132940864,0.018737851859102542,0.02022009984198677,0.005187867940094808,0.00606882664690336
5909,Elmore Alabama,0.7568249824526838,0.21154059279143939,0.005085643216884828,0.007511482717432797,0.0011328793606619955
6137,Escambia Alabama,0.6227991155515519,0.31255971391914394,0.03898124641716485,0.003330330576256381,0.0008189337482597658
6365,Etowah Alabama,0.8067137325458599,0.15744905542300622,0.006130950052802441,0.008223491219149686,0.0029823600735322878
6593,Fayette Alabama,0.8575634891424365,0.11661145871672188,0.004784688995215311,0.004784688995215311,6.13421666053245e-05
6821,Franklin Alabama,0.9169376953000447,0.04377909572093616,0.01664434666156495,0.003634972259422231,0.002168229067023787
7049,Geneva Alabama,0.871493281565224,0.0930684024209204,0.01115298237600396,0.0035019603364927106,0.0007232309390582772
7277,Greene Alabama,0.1849340401923314,0.7991616323511281,0.003821970163974849,0.0028356552829490816,0.0
7505,Hale Alabama,0.4070029349532455,0.5801651764384683,0.0026619343389529724,0.0030032079721520714,0.00013650945327963962
7733,Henry Alabama,0.7157802964254577,0.2588782330717815,0.004591688462656204,0.0042429526300494045,0.00023249055507120023
7961,Houston Alabama,0.6882378496817212,0.2736631344326703,0.005421129181541716,0.010738369127897093,0.0009161141648249938
8189,Jackson Alabama,0.9137450122031534,0.0349242629682718,0.016522682369348778,0.005830395537132453,0.0011428350056173246
8417,Jefferson Alabama,0.5307171718245358,0.43466859406626146,0.0028303620099821886,0.01789626966182944,0.0005800419998997833
